"wochentag";"stunde";"likes";"typ";"kategorie";"bezahlt";"klicks"
7;3;125611;"Foto";"Produkt";"Nein";650
3;3;126425;"Foto";"Inspiration";"Nein";1173
3;12;126424;"Foto";"Produkt";"Nein";1182
2;10;135427;"Foto";"Aktion";"Nein";4076
7;2;96749;"Foto";"Aktion";"Ja";18116
3;11;130790;"Foto";"Aktion";"Nein";723
6;10;124939;"Foto";"Produkt";"Nein";740
3;10;136012;"Foto";"Aktion";"Ja";616
7;6;129600;"Foto";"Produkt";"Nein";731
3;12;120049;"Foto";"Produkt";"Nein";2123
1;12;119196;"Foto";"Produkt";"Nein";663
4;10;137175;"Foto";"Produkt";"Ja";378
3;3;137021;"Foto";"Inspiration";"Nein";1949
7;3;135618;"Foto";"Inspiration";"Ja";412
2;2;132818;"Status";"Inspiration";"Ja";1560
1;7;86491;"Foto";"Produkt";"Nein";1349
7;2;109669;"Foto";"Aktion";"Nein";912
2;3;138414;"Foto";"Produkt";"Nein";148
5;16;86910;"Foto";"Produkt";"Ja";1453
5;13;136393;"Foto";"Aktion";"Nein";287
5;11;138893;"Status";"Inspiration";"Nein";2721
6;3;132200;"Foto";"Produkt";"Nein";533
1;13;131628;"Foto";"Produkt";"Nein";415
1;13;130791;"Foto";"Aktion";"Nein";1571
3;4;134880;"Status";"Inspiration";"Ja";1795
5;3;137891;"Foto";"Aktion";"Nein";512
4;8;136014;"Foto";"Aktion";"Nein";249
4;10;119197;"Foto";"Produkt";"Ja";1197
2;11;123046;"Foto";"Aktion";"Nein";1084
1;4;91115;"Foto";"Produkt";"Ja";1228
2;8;115368;"Foto";"Produkt";"Nein";771
6;12;137178;"Foto";"Aktion";"Nein";2083
6;14;121538;"Foto";"Inspiration";"Nein";879
2;3;139441;"Foto";"Produkt";"Nein";153
2;13;115893;"Foto";"Aktion";"Nein";3154
1;2;109670;"Foto";"Produkt";"Ja";619
1;13;111619;"Foto";"Produkt";"Ja";1275
5;6;136394;"Foto";"Aktion";"Nein";238
7;10;135701;"Foto";"Inspiration";"Nein";756
3;9;133451;"Foto";"Aktion";"Ja";446
6;7;136392;"Foto";"Aktion";"Nein";265
6;10;134879;"Foto";"Inspiration";"Nein";352
4;2;81369;"Foto";"Aktion";"Nein";792
5;12;126141;"Foto";"Aktion";"Nein";2438
6;15;100730;"Foto";"Aktion";"Nein";1688
3;5;123047;"Foto";"Inspiration";"Ja";1877
3;6;129599;"Foto";"Aktion";"Ja";1106
7;5;131628;"Foto";"Inspiration";"Nein";576
7;18;102111;"Foto";"Aktion";"Nein";8415
7;6;134881;"Foto";"Inspiration";"Nein";601
2;13;107909;"Foto";"Aktion";"Ja";1696
4;13;117763;"Foto";"Produkt";"Nein";2717
4;8;81370;"Foto";"Inspiration";"Nein";686
5;3;137177;"Foto";"Aktion";"Nein";430
6;6;136392;"Foto";"Aktion";"Nein";297
7;3;121541;"Foto";"Produkt";"Nein";892
5;15;100733;"Foto";"Aktion";"Nein";3942
5;10;131303;"Foto";"Inspiration";"Nein";530
4;3;138353;"Link";"Aktion";"Ja";170
5;10;136738;"Foto";"Aktion";"Nein";1618
6;3;136394;"Foto";"Produkt";"Nein";493
1;13;124941;"Foto";"Produkt";"Nein";1408
4;11;135712;"Foto";"Inspiration";"Nein";535
1;3;137059;"Foto";"Aktion";"Nein";850
2;11;138184;"Foto";"Aktion";"Ja";591
3;10;135712;"Foto";"Aktion";"Nein";1390
5;3;98196;"Foto";"Aktion";"Nein";720
6;3;135617;"Foto";"Inspiration";"Nein";688
3;3;93149;"Foto";"Produkt";"Nein";1834
5;3;113030;"Status";"Inspiration";"Ja";6592
6;4;137058;"Foto";"Inspiration";"Nein";300
3;3;132819;"Foto";"Inspiration";"Ja";596
4;3;136014;"Status";"Inspiration";"Nein";1934
6;14;109670;"Foto";"Produkt";"Nein";597
7;3;132197;"Foto";"Aktion";"Nein";2777
1;13;126425;"Video";"Aktion";"Nein";2355
5;3;138457;"Status";"Inspiration";"Nein";1710
6;17;100734;"Foto";"Aktion";"Nein";11063
1;3;133678;"Foto";"Produkt";"Ja";487
2;10;138414;"Status";"Inspiration";"Nein";1426
5;3;128032;"Foto";"Aktion";"Nein";1236
6;9;139441;"Foto";"Produkt";"Ja";304
3;12;126144;"Foto";"Aktion";"Nein";2047
4;13;86906;"Foto";"Produkt";"Nein";1463
6;4;131301;"Foto";"Produkt";"Nein";1372
1;3;132818;"Foto";"Produkt";"Nein";525
2;13;91437;"Link";"Aktion";"Nein";507
5;2;124939;"Foto";"Produkt";"Ja";624
4;3;138329;"Foto";"Aktion";"Nein";166
3;14;104072;"Foto";"Aktion";"Ja";1448
3;3;138328;"Foto";"Aktion";"Ja";487
6;2;119199;"Foto";"Inspiration";"Nein";889
2;5;119196;"Foto";"Produkt";"Nein";872
1;3;126347;"Foto";"Aktion";"Nein";4906
6;10;96751;"Foto";"Aktion";"Ja";3311
7;3;128033;"Foto";"Inspiration";"Nein";652
3;10;135429;"Foto";"Aktion";"Ja";670
5;17;100734;"Foto";"Aktion";"Nein";8050
2;10;137018;"Foto";"Produkt";"Nein";341
7;3;137176;"Foto";"Inspiration";"Nein";212
4;3;128030;"Foto";"Aktion";"Nein";14974
1;10;136015;"Foto";"Produkt";"Ja";720
3;3;138352;"Link";"Aktion";"Ja";222
5;2;138328;"Video";"Aktion";"Ja";539
6;10;133590;"Foto";"Inspiration";"Ja";598
5;11;129600;"Foto";"Aktion";"Nein";1097
5;17;100730;"Foto";"Aktion";"Nein";889
5;4;135616;"Status";"Inspiration";"Nein";2108
7;3;138894;"Foto";"Produkt";"Nein";224
5;6;131810;"Foto";"Aktion";"Nein";908
4;11;126139;"Foto";"Aktion";"Ja";7980
7;3;107910;"Foto";"Produkt";"Nein";571
5;10;139441;"Foto";"Produkt";"Nein";248
3;11;138356;"Foto";"Aktion";"Nein";512
2;6;92828;"Foto";"Aktion";"Nein";3402
1;3;136015;"Foto";"Aktion";"Ja";8309
4;10;139441;"Foto";"Inspiration";"Nein";146
7;19;102112;"Foto";"Aktion";"Nein";836
3;11;81370;"Foto";"Produkt";"Nein";833
3;2;138894;"Foto";"Inspiration";"Nein";503
5;10;132199;"Foto";"Inspiration";"Ja";443
6;11;126345;"Status";"Inspiration";"Nein";3599
2;3;138897;"Foto";"Produkt";"Nein";348
2;2;138351;"Link";"Aktion";"Nein";122
3;12;113028;"Foto";"Aktion";"Ja";889
1;3;124939;"Foto";"Produkt";"Nein";1072
7;4;133678;"Foto";"Inspiration";"Nein";404
3;7;111619;"Foto";"Produkt";"Ja";865
4;13;133596;"Foto";"Inspiration";"Nein";428
2;13;126427;"Status";"Inspiration";"Nein";7855
2;13;93042;"Foto";"Produkt";"Nein";1422
2;10;139440;"Status";"Inspiration";"Nein";1672
3;10;135196;"Foto";"Inspiration";"Nein";598
7;3;139439;"Foto";"Produkt";"Ja";365
6;11;125611;"Foto";"Inspiration";"Nein";777
6;4;135711;"Status";"Inspiration";"Nein";2203
4;3;138895;"Foto";"Inspiration";"Nein";885
2;11;130790;"Video";"Aktion";"Ja";7328
7;12;91010;"Foto";"Aktion";"Nein";1838
6;11;128032;"Foto";"Inspiration";"Ja";787
4;14;104073;"Foto";"Aktion";"Ja";743
1;2;125612;"Foto";"Aktion";"Nein";2039
2;4;137021;"Foto";"Aktion";"Nein";928
3;3;136011;"Link";"Aktion";"Nein";1348
1;2;135701;"Foto";"Produkt";"Nein";445
5;3;85981;"Foto";"Produkt";"Ja";1139
6;15;100729;"Foto";"Aktion";"Nein";1034
5;14;119198;"Foto";"Produkt";"Nein";605
3;10;137022;"Foto";"Aktion";"Nein";883
7;3;138188;"Foto";"Aktion";"Nein";639
5;4;135712;"Foto";"Aktion";"Nein";3934
7;10;138186;"Foto";"Aktion";"Nein";259
1;3;138184;"Foto";"Aktion";"Ja";541
4;1;132202;"Foto";"Inspiration";"Nein";422
4;4;135713;"Foto";"Inspiration";"Ja";958
1;8;116438;"Foto";"Aktion";"Nein";869
3;3;131725;"Foto";"Inspiration";"Nein";966
5;8;117763;"Foto";"Produkt";"Ja";848
5;10;137058;"Foto";"Produkt";"Nein";360
7;10;137179;"Foto";"Aktion";"Nein";542
7;10;134880;"Foto";"Aktion";"Nein";459
1;9;126346;"Foto";"Aktion";"Ja";19781
1;11;138353;"Foto";"Aktion";"Nein";453
5;6;119200;"Foto";"Produkt";"Nein";673
5;2;131301;"Foto";"Aktion";"Nein";560
5;11;85978;"Foto";"Produkt";"Nein";1238
6;2;117765;"Foto";"Produkt";"Nein";2998
1;10;138185;"Foto";"Aktion";"Ja";1268
5;13;117764;"Foto";"Produkt";"Nein";509
4;13;91865;"Foto";"Inspiration";"Ja";1116
4;10;98196;"Foto";"Aktion";"Nein";673
7;4;126345;"Foto";"Inspiration";"Nein";1148
2;11;138354;"Status";"Aktion";"Nein";4801
4;7;116093;"Status";"Inspiration";"Nein";1967
2;3;124938;"Foto";"Produkt";"Ja";1000
1;1;119198;"Foto";"Produkt";"Nein";722
3;2;124941;"Foto";"Produkt";"Nein";1015
5;13;136391;"Foto";"Aktion";"Nein";224
6;3;107905;"Foto";"Produkt";"Nein";631
7;2;85093;"Foto";"Produkt";"Nein";1635
1;6;131630;"Status";"Inspiration";"Ja";153
6;3;138328;"Foto";"Aktion";"Nein";401
2;10;134880;"Foto";"Aktion";"Nein";835
6;10;136642;"Foto";"Aktion";"Nein";511
6;3;128032;"Foto";"Produkt";"Nein";1329
2;10;86493;"Foto";"Produkt";"Nein";3644
6;14;116090;"Foto";"Inspiration";"Nein";878
1;3;92614;"Foto";"Inspiration";"Ja";1327
7;14;125612;"Foto";"Produkt";"Nein";918
2;2;138184;"Foto";"Aktion";"Ja";955
2;15;104069;"Status";"Aktion";"Nein";1289
4;3;137019;"Status";"Inspiration";"Ja";2575
6;12;136645;"Foto";"Aktion";"Nein";2286
2;4;126424;"Foto";"Produkt";"Ja";863
3;13;107904;"Foto";"Produkt";"Nein";1028
3;7;104072;"Foto";"Aktion";"Nein";2567
6;4;131807;"Status";"Inspiration";"Nein";1211
6;10;138416;"Foto";"Aktion";"Nein";20
3;11;138893;"Video";"Aktion";"Ja";1727
1;13;109674;"Foto";"Aktion";"Nein";842
3;3;125615;"Foto";"Inspiration";"Nein";1021
7;12;126345;"Foto";"Inspiration";"Nein";900
6;11;138186;"Foto";"Aktion";"Nein";218
1;11;135701;"Foto";"Inspiration";"Nein";613
6;12;100732;"Foto";"Aktion";"Nein";1420
4;11;135196;"Foto";"Aktion";"Nein";678
7;3;136012;"Foto";"Produkt";"Nein";464
1;3;138414;"Status";"Produkt";"Nein";112
4;10;135424;"Foto";"Aktion";"Nein";339
5;10;100730;"Foto";"Aktion";"Nein";2105
3;12;91650;"Foto";"Aktion";"Nein";2109
7;2;85977;"Foto";"Produkt";"Nein";1152
1;3;102112;"Foto";"Aktion";"Nein";652
1;5;96747;"Foto";"Inspiration";"Nein";795
3;15;115894;"Foto";"Produkt";"Ja";1005
6;3;113029;"Foto";"Inspiration";"Ja";925
1;11;117765;"Foto";"Inspiration";"Nein";1156
6;9;136736;"Foto";"Produkt";"Nein";326
6;5;136393;"Foto";"Aktion";"Nein";265
5;11;136390;"Foto";"Aktion";"Nein";245
7;13;129602;"Foto";"Aktion";"Nein";1238
3;5;107906;"Foto";"Produkt";"Ja";645
3;12;124942;"Foto";"Aktion";"Nein";1035
5;3;109673;"Foto";"Produkt";"Nein";787
6;5;96747;"Foto";"Aktion";"Ja";2171
7;3;138414;"Foto";"Inspiration";"Nein";187
7;14;111621;"Foto";"Produkt";"Ja";3393
3;22;126143;"Foto";"Aktion";"Ja";1126
6;14;100729;"Link";"Aktion";"Nein";26
6;10;107908;"Foto";"Produkt";"Nein";603
6;3;138897;"Foto";"Aktion";"Nein";402
1;13;125613;"Foto";"Aktion";"Nein";913
1;3;138895;"Foto";"Aktion";"Nein";433
7;3;136644;"Foto";"Inspiration";"Ja";430
1;11;137022;"Foto";"Aktion";"Ja";481
4;3;106928;"Foto";"Inspiration";"Nein";985
1;3;134878;"Foto";"Inspiration";"Nein";475
4;11;138328;"Foto";"Aktion";"Nein";306
5;10;137178;"Foto";"Produkt";"Nein";513
2;3;91333;"Foto";"Produkt";"Nein";1336
6;11;129601;"Foto";"Inspiration";"Ja";588
3;4;120047;"Foto";"Produkt";"Ja";847
2;10;128030;"Foto";"Aktion";"Ja";1639
1;6;107907;"Link";"Aktion";"Nein";1263
7;10;123047;"Foto";"Produkt";"Nein";1851
2;13;131630;"Foto";"Inspiration";"Nein";500
5;2;136392;"Foto";"Aktion";"Nein";643
3;11;86910;"Foto";"Inspiration";"Nein";2742
5;10;131808;"Status";"Inspiration";"Ja";5106
4;11;130794;"Foto";"Inspiration";"Ja";722
4;2;135195;"Foto";"Inspiration";"Nein";729
2;2;137894;"Foto";"Aktion";"Ja";1342
3;3;132201;"Foto";"Produkt";"Ja";685
6;10;85979;"Foto";"Produkt";"Nein";2011
3;13;116436;"Foto";"Produkt";"Ja";848
5;13;128034;"Foto";"Produkt";"Ja";649
2;2;135425;"Foto";"Inspiration";"Ja";546
4;4;86910;"Foto";"Produkt";"Nein";1426
1;10;139442;"Foto";"Inspiration";"Ja";1119
4;10;139440;"Status";"Inspiration";"Nein";4540
5;13;100734;"Foto";"Aktion";"Ja";9612
6;10;85093;"Foto";"Produkt";"Nein";1005
4;10;137893;"Foto";"Aktion";"Ja";695
1;4;137019;"Foto";"Aktion";"Nein";4781
4;7;109672;"Foto";"Produkt";"Ja";873
5;13;109671;"Foto";"Aktion";"Nein";906
7;11;138894;"Foto";"Inspiration";"Nein";428
3;9;137021;"Foto";"Aktion";"Ja";54
7;2;115371;"Foto";"Aktion";"Nein";724
7;13;109672;"Foto";"Inspiration";"Ja";2122
4;9;107905;"Foto";"Aktion";"Nein";3382
2;10;102112;"Foto";"Aktion";"Nein";609
7;10;136011;"Foto";"Aktion";"Ja";858
4;3;135427;"Foto";"Inspiration";"Ja";513
4;8;131728;"Foto";"Produkt";"Ja";523
5;3;132202;"Foto";"Produkt";"Ja";1750
2;2;137893;"Foto";"Aktion";"Nein";22
6;3;137176;"Status";"Inspiration";"Nein";2832
7;13;124940;"Foto";"Aktion";"Nein";949
3;3;116435;"Status";"Aktion";"Ja";2839
7;13;117764;"Foto";"Produkt";"Ja";678
5;5;129600;"Foto";"Produkt";"Nein";1033
3;4;117766;"Foto";"Produkt";"Nein";966
3;2;135427;"Foto";"Produkt";"Ja";717
1;13;129598;"Foto";"Produkt";"Nein";1015
6;9;138326;"Foto";"Aktion";"Nein";266
1;12;138414;"Foto";"Aktion";"Ja";1654
5;15;100732;"Foto";"Aktion";"Nein";2896
7;10;133681;"Foto";"Produkt";"Nein";987
2;12;120049;"Foto";"Produkt";"Nein";1438
7;3;138328;"Foto";"Aktion";"Ja";863
5;13;92079;"Foto";"Aktion";"Nein";3411
5;4;136737;"Foto";"Inspiration";"Nein";321
3;10;131727;"Foto";"Aktion";"Ja";883
5;6;98192;"Link";"Inspiration";"Nein";95
4;6;93364;"Foto";"Aktion";"Nein";1525
5;12;124939;"Foto";"Aktion";"Ja";2822
7;4;131955;"Foto";"Inspiration";"Nein";456
6;8;136393;"Foto";"Aktion";"Nein";293
6;13;92292;"Foto";"Produkt";"Ja";2022
5;10;86909;"Foto";"Aktion";"Ja";3183
4;3;107906;"Foto";"Produkt";"Nein";820
3;12;129598;"Foto";"Inspiration";"Ja";786
6;9;137058;"Foto";"Produkt";"Nein";291
2;9;132817;"Foto";"Aktion";"Nein";628
6;10;136392;"Foto";"Aktion";"Nein";317
5;3;138896;"Link";"Aktion";"Ja";460
4;9;116435;"Foto";"Inspiration";"Nein";1049
3;10;132817;"Foto";"Produkt";"Nein";1677
5;9;124941;"Foto";"Inspiration";"Nein";1230
4;10;132201;"Foto";"Produkt";"Nein";522
3;11;132200;"Foto";"Produkt";"Ja";354
6;9;138893;"Status";"Inspiration";"Nein";6547
5;3;135195;"Foto";"Produkt";"Ja";1617
5;10;138415;"Status";"Inspiration";"Nein";1489
3;5;128033;"Foto";"Inspiration";"Ja";2087
7;13;92505;"Foto";"Produkt";"Nein";6625
7;11;137020;"Foto";"Produkt";"Nein";486
5;12;136392;"Foto";"Aktion";"Nein";253
5;9;116093;"Foto";"Aktion";"Nein";885
7;9;139442;"Status";"Inspiration";"Nein";1389
2;5;130791;"Foto";"Inspiration";"Ja";6242
5;3;116094;"Foto";"Produkt";"Nein";554
4;3;138459;"Foto";"Produkt";"Nein";147
7;2;117764;"Link";"Aktion";"Nein";398
3;6;130791;"Status";"Inspiration";"Nein";6017
2;2;136012;"Status";"Inspiration";"Ja";9236
6;11;136644;"Foto";"Aktion";"Nein";330
1;9;135195;"Foto";"Produkt";"Nein";598
7;3;123047;"Foto";"Produkt";"Ja";601
6;3;124939;"Foto";"Produkt";"Ja";996
4;13;106928;"Foto";"Inspiration";"Nein";977
3;13;98195;"Foto";"Produkt";"Nein";1928
7;3;116092;"Foto";"Inspiration";"Nein";834
5;6;93577;"Foto";"Aktion";"Nein";2653
2;10;138895;"Foto";"Inspiration";"Nein";222
5;10;135196;"Status";"Inspiration";"Ja";2968
1;6;111620;"Foto";"Aktion";"Ja";1745
4;13;109668;"Foto";"Aktion";"Nein";944
5;11;135711;"Link";"Aktion";"Ja";119
